               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09902,            0.014552,            0.035285,           0.0014208,             0.37213,            0.021394,           0.0056606,            0.074836,            0.011998,            0.025756,            0.070226,           0.0033083,           0.0033083
                   1,            0.067419,            0.014536,            0.026711,             0.62699,              0.1389,            0.093294,            0.030823,            0.057812,            0.009293,            0.023785,            0.039568,           0.0059841,           0.0059841
                   2,            0.061563,            0.011925,            0.025124,             0.67899,             0.17349,             0.13958,            0.053949,             0.05831,           0.0080558,            0.020597,           0.0082505,           0.0079999,           0.0079999
                   3,             0.05802,            0.010903,            0.019264,             0.74271,             0.21697,             0.20762,            0.089729,            0.054697,           0.0075483,            0.017271,             0.00703,             0.00703,             0.00703
                   4,            0.055234,            0.010179,            0.016222,             0.74592,             0.21012,              0.2047,             0.08953,            0.051794,           0.0072852,            0.023587,             0.00703,             0.00703,             0.00703
                   5,            0.051351,           0.0097322,            0.014897,             0.81354,             0.25372,             0.27524,              0.1322,            0.046041,           0.0069007,            0.013167,             0.00604,             0.00604,             0.00604
                   6,            0.050415,           0.0093522,            0.013554,             0.84673,             0.28154,             0.31439,             0.15111,            0.043602,           0.0066682,            0.011677,             0.00505,             0.00505,             0.00505
                   7,            0.047987,           0.0088635,            0.011651,             0.87821,             0.30592,              0.3469,             0.17582,            0.042329,           0.0062495,           0.0092428,             0.00406,             0.00406,             0.00406
                   8,            0.044511,           0.0087174,            0.010323,             0.86252,             0.32323,             0.36956,             0.18754,            0.039042,           0.0060489,           0.0069611,             0.00307,             0.00307,             0.00307
                   9,            0.041702,           0.0085224,           0.0087244,             0.88101,             0.33501,             0.38222,              0.1999,            0.036834,           0.0058132,           0.0058935,             0.00208,             0.00208,             0.00208
                   0,            0.099197,            0.014526,            0.035382,           0.0014421,             0.36098,             0.01419,           0.0037682,            0.075701,            0.012815,             0.02602,            0.070226,           0.0033083,           0.0033083
                   1,            0.067727,            0.014486,              0.0268,             0.59689,             0.10301,            0.065341,            0.019728,            0.061507,             0.00983,            0.024499,            0.039568,           0.0059841,           0.0059841
