               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   2,            0.061947,            0.012008,            0.026168,             0.64316,             0.17293,              0.1046,            0.033107,            0.059397,           0.0086166,            0.022396,           0.0082505,           0.0079999,           0.0079999
                   3,            0.058154,            0.011035,              0.0209,             0.74763,             0.21757,             0.20464,            0.091645,            0.049646,           0.0082168,            0.021428,             0.00703,             0.00703,             0.00703
                   4,            0.054314,            0.010068,            0.016709,             0.78912,             0.23931,             0.25723,             0.11577,            0.049463,           0.0071879,            0.015876,             0.00703,             0.00703,             0.00703
                   5,            0.051379,           0.0096435,            0.014981,             0.83498,              0.2687,             0.30229,             0.12912,             0.04802,           0.0067398,            0.011166,             0.00604,             0.00604,             0.00604
                   6,            0.050207,           0.0093084,            0.013941,             0.85662,             0.29031,              0.3292,             0.15894,            0.042377,           0.0067891,            0.012006,             0.00505,             0.00505,             0.00505
                   7,            0.047026,           0.0087177,            0.011297,             0.86052,             0.29772,             0.33994,             0.16793,            0.042241,           0.0064027,           0.0095553,             0.00406,             0.00406,             0.00406
                   8,            0.044454,           0.0086248,            0.010642,             0.87131,             0.31137,             0.36413,             0.18824,            0.038829,           0.0061927,           0.0078511,             0.00307,             0.00307,             0.00307
                   9,            0.041746,           0.0084497,           0.0093058,              0.8784,             0.34224,             0.38781,             0.20537,             0.03671,           0.0058515,           0.0064337,             0.00208,             0.00208,             0.00208
                   0,             0.10065,             0.01671,            0.030987,             0.08149,             0.19153,            0.050768,            0.011725,             0.07743,            0.014996,            0.019039,            0.070226,           0.0033083,           0.0033083
                   1,             0.07189,            0.015887,            0.014725,             0.66932,             0.18581,             0.13034,            0.040669,             0.06659,            0.010556,            0.011038,             0.04016,           0.0065759,           0.0065759
                   2,            0.066468,            0.012997,            0.010525,             0.65842,             0.24158,             0.15389,            0.053697,            0.059521,            0.010248,           0.0079076,            0.010028,           0.0097774,           0.0097774
                   3,            0.061609,            0.012135,           0.0087865,             0.54022,             0.33848,              0.2551,            0.099022,            0.056761,           0.0085269,           0.0062896,            0.009703,            0.009703,            0.009703
                   4,            0.057458,            0.011621,           0.0078616,             0.62182,             0.35485,             0.34755,             0.14417,            0.050365,           0.0085717,           0.0057113,            0.009703,            0.009703,            0.009703
                   5,            0.054326,             0.01109,           0.0066752,             0.72823,             0.32691,             0.40936,             0.15582,            0.051435,           0.0081244,           0.0053562,            0.009604,            0.009604,            0.009604
                   6,            0.053451,             0.01068,           0.0064034,             0.71158,             0.40572,             0.48421,             0.20962,             0.04777,            0.007846,           0.0049634,            0.009505,            0.009505,            0.009505
                   7,            0.052507,            0.010429,           0.0053248,             0.67481,             0.39141,             0.38605,             0.16379,            0.047989,           0.0079639,           0.0047041,            0.009406,            0.009406,            0.009406
                   8,            0.051888,            0.010551,           0.0052709,               0.536,              0.6029,             0.58424,             0.27162,            0.044862,           0.0076913,           0.0042698,            0.009307,            0.009307,            0.009307
                   9,            0.049441,            0.010268,           0.0051388,             0.52623,             0.58031,              0.5005,             0.20934,             0.04457,           0.0074428,           0.0037925,            0.009208,            0.009208,            0.009208
                  10,            0.048963,              0.0101,           0.0047344,             0.64139,             0.58981,             0.59484,             0.24879,            0.044304,           0.0074309,           0.0040088,            0.009109,            0.009109,            0.009109
                  11,            0.047648,            0.010137,           0.0049434,             0.67827,             0.65356,             0.66318,             0.28119,            0.040354,           0.0071857,           0.0036317,             0.00901,             0.00901,             0.00901
                  12,            0.046728,           0.0094534,            0.004128,             0.57084,              0.6439,             0.56221,             0.25069,            0.041718,           0.0069557,           0.0032544,            0.008911,            0.008911,            0.008911
                  13,            0.045817,           0.0096587,           0.0040943,             0.76727,             0.65799,             0.70327,             0.33361,            0.042892,           0.0070157,           0.0029006,            0.008812,            0.008812,            0.008812
                  14,            0.045835,           0.0093485,           0.0039387,             0.76649,             0.62503,             0.71513,             0.33967,            0.041448,           0.0067613,           0.0031037,            0.008713,            0.008713,            0.008713
                  15,            0.044801,           0.0095109,           0.0040651,             0.69624,             0.70211,             0.68328,              0.3424,            0.038841,           0.0067158,             0.00268,            0.008614,            0.008614,            0.008614
                  16,            0.044443,           0.0091899,           0.0035078,             0.67525,             0.66414,             0.68011,             0.28539,            0.039321,           0.0066326,            0.002643,            0.008515,            0.008515,            0.008515
                  17,            0.044539,           0.0093004,           0.0035745,             0.74205,             0.65831,             0.71897,             0.33655,            0.039365,           0.0065945,           0.0026297,            0.008416,            0.008416,            0.008416
                  18,            0.045002,           0.0094323,           0.0034842,             0.66362,             0.70014,             0.72023,             0.35247,            0.037941,           0.0066292,            0.002374,            0.008317,            0.008317,            0.008317
                  19,            0.043265,           0.0088188,           0.0033474,             0.65383,              0.7019,             0.70944,             0.35737,            0.036574,           0.0063274,           0.0023612,            0.008218,            0.008218,            0.008218
                  20,            0.043143,           0.0088838,           0.0027866,              0.6344,             0.71948,              0.6605,             0.28685,            0.037199,           0.0063134,            0.002158,            0.008119,            0.008119,            0.008119
                  21,            0.041531,           0.0090964,           0.0030989,             0.81016,             0.73086,             0.79592,             0.40058,            0.035591,           0.0062459,           0.0019471,             0.00802,             0.00802,             0.00802
                  22,            0.041153,           0.0088676,           0.0031962,             0.78086,             0.75855,             0.79613,             0.40151,            0.035001,           0.0062836,           0.0023223,            0.007921,            0.007921,            0.007921
                  23,            0.040754,           0.0086279,           0.0027441,             0.84291,             0.75452,             0.82854,             0.42804,            0.035033,           0.0060315,           0.0019113,            0.007822,            0.007822,            0.007822
                  24,             0.03967,           0.0085541,           0.0029659,             0.83292,              0.7929,             0.82593,             0.43512,            0.034901,           0.0059546,           0.0019296,            0.007723,            0.007723,            0.007723
                  25,            0.040173,           0.0086385,           0.0026705,              0.8402,             0.79475,             0.83099,             0.43863,             0.03447,           0.0059918,           0.0017178,            0.007624,            0.007624,            0.007624
                  26,            0.040654,           0.0085843,           0.0028477,             0.74699,              0.7928,              0.7968,             0.41897,            0.035779,           0.0058649,           0.0017737,            0.007525,            0.007525,            0.007525
                  27,            0.039302,            0.008428,           0.0026956,             0.75148,             0.74284,             0.74061,             0.37852,            0.033979,           0.0059447,             0.00183,            0.007426,            0.007426,            0.007426
                  28,            0.038746,           0.0084026,           0.0028624,             0.74975,             0.71291,             0.76017,             0.36687,            0.033696,           0.0059094,           0.0017202,            0.007327,            0.007327,            0.007327
                  29,            0.039037,           0.0083449,           0.0021687,             0.85067,             0.77974,             0.84094,             0.43289,            0.033801,           0.0058418,            0.001657,            0.007228,            0.007228,            0.007228
                  30,             0.03848,           0.0085645,            0.002258,             0.77068,             0.80375,             0.78982,             0.41134,            0.032974,           0.0057327,           0.0015974,            0.007129,            0.007129,            0.007129
                  31,            0.037916,           0.0084754,           0.0022442,             0.70484,             0.78122,             0.76312,             0.39317,            0.033117,           0.0056872,           0.0015318,             0.00703,             0.00703,             0.00703
                  32,            0.038058,           0.0084747,           0.0022232,             0.81639,             0.80312,             0.83533,             0.43189,            0.031764,           0.0056695,           0.0013942,            0.006931,            0.006931,            0.006931
                  33,            0.037131,           0.0080597,           0.0020288,              0.8764,             0.82428,             0.86148,             0.45265,            0.032015,           0.0056937,           0.0013931,            0.006832,            0.006832,            0.006832
                  34,             0.03663,           0.0082115,           0.0019102,             0.85823,             0.83097,             0.87191,             0.45555,             0.03147,           0.0055026,           0.0014112,            0.006733,            0.006733,            0.006733
                  35,            0.036868,           0.0078741,           0.0022731,             0.80041,             0.81624,             0.85457,             0.45388,            0.032547,           0.0055792,            0.001531,            0.006634,            0.006634,            0.006634
                  36,            0.036663,           0.0081098,           0.0024076,             0.86172,             0.81988,             0.87157,             0.49509,            0.030689,           0.0056326,            0.001405,            0.006535,            0.006535,            0.006535
                  37,            0.036578,           0.0078584,           0.0019391,              0.7496,             0.80513,              0.8339,             0.44786,            0.030939,           0.0054533,           0.0012142,            0.006436,            0.006436,            0.006436
                  38,            0.037039,           0.0078862,           0.0019319,             0.81488,             0.82388,             0.86926,             0.49553,            0.030172,           0.0054178,           0.0012671,            0.006337,            0.006337,            0.006337
                  39,            0.035824,           0.0083257,           0.0019398,             0.83715,             0.85525,             0.88862,             0.49488,            0.029449,           0.0054038,           0.0012225,            0.006238,            0.006238,            0.006238
                  40,            0.035195,           0.0077109,           0.0020529,             0.82691,             0.82474,              0.8625,             0.46347,            0.029744,           0.0053547,           0.0011669,            0.006139,            0.006139,            0.006139
                  41,            0.035429,           0.0077221,           0.0019399,             0.88958,             0.84606,             0.89868,             0.49676,            0.029305,           0.0052762,           0.0015175,             0.00604,             0.00604,             0.00604
                  42,            0.036029,           0.0078112,           0.0020978,             0.87748,             0.84549,             0.89189,             0.50695,            0.029937,           0.0054558,           0.0012079,            0.005941,            0.005941,            0.005941
                  43,             0.03483,           0.0078447,           0.0019004,             0.81599,             0.84214,             0.89204,             0.47074,             0.02901,           0.0052863,           0.0010988,            0.005842,            0.005842,            0.005842
                  44,            0.034847,           0.0078602,           0.0019564,              0.8493,             0.84643,             0.88919,             0.51267,            0.028772,           0.0052815,           0.0011995,            0.005743,            0.005743,            0.005743
                  45,            0.034905,            0.007665,            0.001524,              0.8896,             0.83138,             0.89763,             0.49169,            0.029062,           0.0052061,            0.001004,            0.005644,            0.005644,            0.005644
                  46,            0.033986,           0.0075701,           0.0016625,             0.89294,             0.84408,             0.90108,             0.49605,            0.028356,           0.0052058,          0.00095492,            0.005545,            0.005545,            0.005545
                  47,              0.0334,           0.0075566,           0.0017447,             0.89399,             0.84133,             0.90461,             0.51858,            0.028558,           0.0051261,           0.0010869,            0.005446,            0.005446,            0.005446
                  48,            0.033584,           0.0075124,           0.0017525,             0.86411,             0.83928,             0.90672,              0.5184,            0.027821,           0.0050562,           0.0009483,            0.005347,            0.005347,            0.005347
                  49,            0.033423,           0.0072655,           0.0015418,             0.84435,             0.82884,             0.84968,             0.44794,            0.028353,           0.0051087,          0.00094999,            0.005248,            0.005248,            0.005248
                  50,            0.033024,           0.0075243,           0.0018412,             0.91986,             0.83896,             0.90785,             0.52138,            0.028105,           0.0050549,          0.00096325,            0.005149,            0.005149,            0.005149
                  51,            0.033045,           0.0075202,           0.0014792,             0.90163,             0.85082,             0.90709,             0.54373,            0.027705,           0.0050892,          0.00086273,             0.00505,             0.00505,             0.00505
                  52,            0.032927,           0.0073794,           0.0016549,             0.84339,             0.82494,             0.89839,             0.53566,            0.027696,            0.005004,           0.0010623,            0.004951,            0.004951,            0.004951
                  53,            0.032852,           0.0075028,             0.00161,             0.88651,             0.84267,             0.91193,             0.53767,            0.026769,           0.0050174,          0.00093835,            0.004852,            0.004852,            0.004852
                  54,            0.032786,           0.0072675,           0.0016777,             0.91072,             0.85271,             0.91557,             0.55689,            0.026626,           0.0049147,          0.00079001,            0.004753,            0.004753,            0.004753
                  55,            0.031815,           0.0072654,           0.0014116,             0.90538,             0.86262,             0.91616,             0.53692,            0.026452,            0.004937,          0.00081365,            0.004654,            0.004654,            0.004654
                  56,             0.03226,           0.0072435,           0.0013114,               0.909,             0.86368,             0.92191,             0.54925,            0.026544,            0.004878,          0.00074643,            0.004555,            0.004555,            0.004555
                  57,            0.031779,            0.007296,           0.0013774,             0.90193,             0.88814,             0.93024,             0.56794,            0.026008,           0.0048418,          0.00068645,            0.004456,            0.004456,            0.004456
                  58,            0.032122,           0.0071343,           0.0013115,             0.90972,              0.8643,             0.92544,             0.55246,            0.026028,           0.0048682,          0.00073258,            0.004357,            0.004357,            0.004357
                  59,            0.031684,           0.0071872,            0.001142,             0.87361,             0.85723,             0.91764,             0.56025,            0.026281,           0.0048456,          0.00070462,            0.004258,            0.004258,            0.004258
                  60,            0.031529,           0.0072177,           0.0012268,             0.91508,             0.86049,             0.92435,             0.56765,            0.025972,           0.0048338,          0.00080925,            0.004159,            0.004159,            0.004159
                  61,            0.030762,           0.0068173,           0.0012347,             0.91546,              0.8595,             0.91862,             0.56191,            0.025787,           0.0048582,          0.00076622,             0.00406,             0.00406,             0.00406
                  62,            0.031328,           0.0073495,           0.0012798,              0.9233,             0.87413,             0.92644,             0.58595,            0.025225,           0.0047054,          0.00075115,            0.003961,            0.003961,            0.003961
                  63,            0.030778,           0.0069146,           0.0012461,             0.83623,             0.87424,             0.91649,             0.53396,            0.025645,           0.0047482,          0.00062145,            0.003862,            0.003862,            0.003862
                  64,            0.031188,           0.0074301,           0.0013512,             0.90697,             0.86576,             0.92862,             0.56277,            0.025684,           0.0047601,          0.00064104,            0.003763,            0.003763,            0.003763
                  65,            0.030132,           0.0069172,           0.0012646,             0.88776,             0.88955,             0.92598,             0.54075,            0.025061,           0.0046461,           0.0006098,            0.003664,            0.003664,            0.003664
                  66,            0.029996,           0.0070661,           0.0013164,              0.9076,             0.90464,             0.93479,             0.58205,            0.024526,           0.0045942,          0.00067558,            0.003565,            0.003565,            0.003565
                  67,            0.030589,           0.0066516,           0.0012234,             0.87245,             0.87587,              0.9196,             0.51424,            0.025111,           0.0046805,          0.00059287,            0.003466,            0.003466,            0.003466
                  68,            0.029789,           0.0067827,           0.0013799,             0.93923,             0.86627,             0.93481,             0.58479,            0.024193,           0.0046179,          0.00057718,            0.003367,            0.003367,            0.003367
                  69,            0.029627,           0.0068164,           0.0010679,             0.92394,             0.88116,             0.93663,             0.57534,            0.024132,           0.0045863,          0.00050898,            0.003268,            0.003268,            0.003268
                  70,            0.029654,           0.0068251,          0.00098698,             0.91207,              0.8925,             0.94105,             0.57768,            0.023903,           0.0045723,          0.00050161,            0.003169,            0.003169,            0.003169
                  71,            0.029466,           0.0066002,          0.00099678,             0.93387,             0.88099,             0.94532,               0.591,            0.023896,           0.0045616,          0.00052784,             0.00307,             0.00307,             0.00307
                  72,            0.029851,           0.0068853,           0.0010616,             0.92789,             0.88398,             0.93647,             0.60282,            0.023799,           0.0045327,          0.00051419,            0.002971,            0.002971,            0.002971
                  73,            0.029547,            0.006766,           0.0010747,             0.92508,             0.86213,             0.93149,             0.57689,            0.024059,           0.0045358,          0.00052675,            0.002872,            0.002872,            0.002872
                  74,            0.028713,           0.0068695,          0.00092272,             0.93398,             0.87959,             0.94636,             0.61098,            0.023266,           0.0044358,          0.00046474,            0.002773,            0.002773,            0.002773
                  75,            0.028977,           0.0065149,           0.0011682,             0.92204,             0.89089,             0.94407,             0.60567,            0.023672,           0.0045043,          0.00053256,            0.002674,            0.002674,            0.002674
                  76,            0.028721,           0.0065945,           0.0010106,             0.91328,             0.89897,             0.94522,             0.60153,            0.023433,           0.0044744,          0.00048739,            0.002575,            0.002575,            0.002575
                  77,            0.027966,           0.0065863,          0.00083652,             0.93508,              0.8769,              0.9467,             0.61188,             0.02284,           0.0043622,          0.00043112,            0.002476,            0.002476,            0.002476
                  78,            0.028633,           0.0066224,          0.00091723,             0.94381,             0.88855,             0.94546,             0.61856,            0.022616,           0.0043963,          0.00043862,            0.002377,            0.002377,            0.002377
                  79,            0.028211,            0.006454,          0.00090518,             0.93341,             0.88142,             0.94239,             0.57845,            0.022891,           0.0044035,          0.00044885,            0.002278,            0.002278,            0.002278
                  80,            0.028376,           0.0065532,          0.00087237,             0.94487,             0.88997,             0.94915,             0.62288,              0.0224,           0.0043428,          0.00038871,            0.002179,            0.002179,            0.002179
                  81,            0.027489,           0.0065541,           0.0008656,             0.92595,              0.9036,             0.95228,             0.60718,             0.02239,           0.0043493,          0.00037254,             0.00208,             0.00208,             0.00208
                  82,            0.027417,           0.0064284,          0.00083499,             0.93508,             0.89996,             0.95151,             0.61838,            0.021981,           0.0043081,          0.00035845,            0.001981,            0.001981,            0.001981
                  83,            0.027158,           0.0063873,          0.00078283,             0.92473,             0.89592,             0.95046,             0.62559,            0.022055,           0.0043256,          0.00038488,            0.001882,            0.001882,            0.001882
                  84,            0.027285,           0.0063306,          0.00095293,             0.92156,             0.90825,             0.95317,             0.62856,            0.021868,           0.0042667,          0.00039614,            0.001783,            0.001783,            0.001783
                  85,            0.026862,           0.0065969,           0.0008394,             0.93812,             0.89897,             0.94978,             0.64454,             0.02148,           0.0042346,          0.00038151,            0.001684,            0.001684,            0.001684
                  86,            0.027246,           0.0062587,          0.00081654,             0.93312,             0.90692,             0.95504,             0.63544,            0.021856,           0.0042647,          0.00037746,            0.001585,            0.001585,            0.001585
                  87,            0.026677,           0.0063711,          0.00086942,             0.93305,             0.91086,             0.95408,             0.63949,            0.021293,           0.0042384,          0.00036904,            0.001486,            0.001486,            0.001486
                  88,            0.025927,           0.0062459,          0.00095209,             0.92657,             0.90873,             0.95333,             0.62372,            0.021325,           0.0042118,           0.0003796,            0.001387,            0.001387,            0.001387
                  89,            0.026378,           0.0064671,          0.00072674,             0.92832,             0.91574,             0.95532,             0.62994,            0.021288,           0.0042009,          0.00035757,            0.001288,            0.001288,            0.001288
                  90,             0.02646,           0.0063984,          0.00072191,             0.92181,             0.91749,             0.95596,             0.64117,             0.02115,           0.0041839,          0.00033394,            0.001189,            0.001189,            0.001189
                  91,            0.026149,            0.006101,          0.00063165,             0.93435,             0.90981,             0.95689,             0.63482,            0.021159,           0.0041472,          0.00033768,             0.00109,             0.00109,             0.00109
                  92,            0.026093,           0.0063305,          0.00069331,             0.93146,             0.90804,             0.95686,             0.65271,            0.020801,           0.0041373,          0.00031648,            0.000991,            0.000991,            0.000991
                  93,            0.025792,           0.0062006,          0.00076774,             0.92805,             0.92017,             0.95838,             0.64807,            0.020489,           0.0041251,          0.00030786,            0.000892,            0.000892,            0.000892
                  94,            0.025792,           0.0063765,          0.00087097,             0.92994,               0.922,             0.95764,             0.65438,            0.020459,           0.0041114,           0.0003121,            0.000793,            0.000793,            0.000793
                  95,            0.025418,           0.0062543,          0.00080931,              0.9211,             0.92423,             0.95757,             0.65844,            0.020501,           0.0041259,          0.00030367,            0.000694,            0.000694,            0.000694
                  96,            0.025285,           0.0061864,          0.00076679,             0.92627,             0.92782,             0.96019,             0.65551,            0.020268,           0.0040923,          0.00029947,            0.000595,            0.000595,            0.000595
                  97,             0.02539,           0.0061651,          0.00065404,             0.92385,             0.92134,             0.95828,              0.6554,            0.020264,           0.0040768,          0.00029087,            0.000496,            0.000496,            0.000496
                  98,            0.025034,           0.0058656,          0.00061264,              0.9319,             0.91898,             0.95846,             0.66538,            0.020224,            0.004075,          0.00028279,            0.000397,            0.000397,            0.000397
                  99,            0.025294,           0.0061343,           0.0006562,             0.94942,             0.89801,             0.95922,             0.66094,            0.020055,           0.0040676,          0.00028029,            0.000298,            0.000298,            0.000298
